XX = Padding
The Result should look like a Toyota Corolla AE86

 ID   XX    RED     GREEN     BLUE    ALPHA    POSX     POSY     SCALEX   SCALEY  ROTATION O  F   XX
-----------------------------------------------------------------------------------------------------
9000 0000 00000000 00000000 00000000 0000803F 0040003B 0040003B 78B80F3F 78B80F3F 00000000 00 00 0000
AE00 0000 0000803F 0000803F 0000803F FEFC7C3E 1C257F3E 645DBCBD 810205C0 418306C0 2D5AB442 00 01 0000
8B00 0000 0000803F 0000803F 0000803F CECC4C3E 295E853D 1D04BD3D 785693BF 888DB4BE 2D5AB442 00 01 0000
8900 0000 0000803F 0000803F 0000803F 0000803F 0050203C 34674EBE DBB5ABC0 A84F1FBF 2D5AB442 00 00 0000
A800 0000 8180003E 8180003E 8180003E 0000803F EE3DEC3E F8FC30BD 396A2EC0 5EF515C0 6A812B43 00 01 0000
9900 0000 0000803F 0000803F 0000803F 0000803F 54A7C33E 471C92BD 655EDFBF 833D74C0 7BB07642 00 00 0000
9900 0000 0000803F 0000803F 0000803F 0000803F B971E33E 5B26E33D 4EEB0EC0 4EEB0EC0 0509A242 00 00 0000
FFFF 0000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00 00 0000
AE00 0000 9A99193F 9998983E 00000000 0000803F B874E93E 305F3E3E 9A356BC0 73E68CC0 02032E43 00 01 0000
A800 0000 8180003E 8180003E 8180003E 0000803F 27D8EFBE A19F29BD 396A2EC0 5EF515C0 0E573C43 00 00 0000
9900 0000 0000803F 0000803F 0000803F 0000803F 67F3C0BE 3387A4BD 655EDFBF 833D74C0 A6669843 00 01 0000
9900 0000 0000803F 0000803F 0000803F 0000803F FC89EABE D7BFCB3D 3A3D07C0 3A3D07C0 ECD78B43 00 01 0000
AE00 0000 9A99193F 9998983E 00000000 0000803F 058CEEBE 215B363E 822B73C0 66E190C0 FEFC3943 00 00 0000
AE00 0000 8180003E 8180003E 8180003E 0000803F 895EAE3E 33F9263E 8A4F18C0 23094DC0 972EB143 00 00 0000
AE00 0000 8180003E 8180003E 8180003E 0000803F 03EDB6BE 33F9263E 8A4F18C0 23094DC0 972EB143 00 00 0000
8900 0000 0000803F 0000803F 0000803F 0000803F 305C38BD 3873663E D8AE5DC0 405A343E 75E98643 00 00 0000
9000 0000 9A99193F 9998983E 00000000 0000803F B5FA9ABE 2A73933E D4A851C0 142992C0 00000000 00 00 0000
9000 0000 9A99193F 9998983E 00000000 0000803F 5037983E D55E943E D4A851C0 142992C0 00000000 00 00 0000
A800 0000 0000803F 0000803F 0000803F 0000803F B46AD53E A4468D3E 4A9224C0 D6AB57C0 E4C82943 00 00 0000
A800 0000 0000803F 0000803F 0000803F 0000803F B66BD7BE A4478F3E 4A9224C0 D6AB57C0 FEFC3943 00 01 0000
C300 0000 0000803F 0000803F 0000803F B1B0B03E 0040003B A44A953E 51A142C0 C0766DBF 75E98643 01 00 0000
9D00 0000 8180803E 8180803E 8180803E 0000803F A04081BE BC76ED3E CA9327C0 B86D5BBF 64C98A43 00 00 0000
9D00 0000 8180803E 8180803E 8180803E 0000803F A040813E BC77EF3E CA9327C0 B86D5BBF D6ABA742 00 01 0000
3000 0000 0000803F 0000803F 0000803F B5B4343E B86EDD3E B060C13E B0674F3F 04070EC0 00000000 01 00 0000
9000 0000 CECC4C3F CECC4C3F 00000000 0000803F A44B973E B872E53E 122244C0 70E080C0 00000000 00 00 0000
9000 0000 CECC4C3F CECC4C3F 00000000 0000803F A4478FBE B871E33E 122244C0 70E080C0 00000000 00 00 0000
EC00 0000 0000803F 0000803F 0000803F 0000803F B22FD9BD 6589963E 225980C0 062190C0 00000000 00 00 0000
EA00 0000 0000803F 0000803F 0000803F 0000803F 81427DBD 6589963E 225980C0 062190C0 00000000 00 00 0000
ED00 0000 0000803F 0000803F 0000803F 0000803F BF7E88BC 6589963E 225980C0 062190C0 00000000 00 00 0000
DD00 0000 0000803F 0000803F 0000803F 0000803F 2499D53C 6589963E 225980C0 062190C0 00000000 00 00 0000
E600 0000 0000803F 0000803F 0000803F 0000803F CD92803D 6589963E 225980C0 062190C0 00000000 00 00 0000
E700 0000 0000803F 0000803F 0000803F 0000803F 7EC8DB3D 6589963E 225980C0 062190C0 00000000 00 00 0000
